TAZ,CBD,HH_IncludingGQ,HH,HH_GQ,Accomodations,College_University,Commercial,Industrial,Institutional,K12,Retail,Special_Commercial,Special_Retail
897,0,3,3,0,0,0,5,192,0,0,35,0,0
898,0,1,1,0,0,0,15,160,0,0,52,0,0
899,0,87,87,0,0,0,50,19,0,0,0,0,0
900,0,20,20,0,0,0,402,149,111,0,159,2,12
901,0,245,245,0,0,0,18,3,3,0,2,10,0
902,0,141,141,0,0,0,4,9,0,0,2,0,0
903,0,84,84,0,0,0,132,8,74,0,26,2,0
904,0,0,0,0,0,0,326,1073,80,0,536,68,20
905,0,4,4,0,0,0,22,92,0,0,0,0,0
906,0,0,0,0,0,0,12,4,0,0,75,0,0
907,0,139,139,0,0,7,23,12,0,0,9,10,0
908,0,42,42,0,0,0,4,12,1,0,18,0,0
909,0,111,111,0,0,0,14,4,19,0,12,0,0
910,0,52,52,0,0,0,6,0,0,0,0,10,0
911,0,6,6,0,0,0,8,0,0,0,145,0,54
912,0,6,6,0,0,0,182,0,9,0,226,0,101
913,0,7,7,0,0,0,9,199,0,15,47,0,0
914,0,1,1,0,0,0,20,7,0,0,84,0,0
915,0,59,59,0,0,0,4,3,0,0,0,0,0
916,0,51,51,0,0,0,3,0,8,0,0,1,0
917,0,7,7,0,0,0,652,127,0,0,30,0,0
918,0,3,3,0,0,0,2,164,18,0,252,97,5
919,0,6,6,0,0,0,154,1,0,0,0,0,183
920,0,157,157,0,0,0,10,1,0,130,0,4,0
921,0,84,84,0,0,0,32,4,7,0,8,0,0
946,0,536,536,0,0,0,393,13,78,0,6,0,0
947,0,380,380,0,0,0,34,38,4,0,6,2,4
948,0,484,375,109,0,2000,509,4,42,0,8,2,14
949,0,115,115,0,0,0,14,6,140,230,15,0,31
950,0,25,25,0,0,0,1,2,1,1,0,0,0
951,0,12,12,0,0,0,25,82,0,0,15,0,0
952,0,154,154,0,0,0,20,1,0,0,11,0,5
953,0,258,193,65,0,0,417,6,8,0,24,0,9
954,0,88,88,0,0,0,6,1,3,0,13,0,0
955,0,297,165,132,0,0,9,16,0,0,2,0,5
956,0,277,277,0,0,0,15,3,0,0,5,2,0
957,0,186,117,69,0,0,12,31,20,4,98,0,8
958,0,218,208,10,3,0,124,1233,10,41,135,0,41
959,0,321,286,35,0,0,387,3,9,0,15,5,7
960,0,442,442,0,2,0,149,26,12,0,28,19,85
