TAZ,CBD,HH_IncludingGQ,HH,HH_GQ,Accomodations,College_University,Commercial,Industrial,Institutional,K12,Retail,Special_Commercial,Special_Retail
265,0,1246,0,1246,0,501,0,0,3,0,0,0,0
266,0,142,142,0,0,0,6,1,0,0,2,0,0
267,0,167,167,0,0,0,9,6,0,0,10,0,0
268,0,28,28,0,0,0,4,6,9,0,5,0,0
269,0,20,20,0,0,0,0,5,16,0,0,0,0
270,0,80,80,0,0,0,30,0,0,0,4,0,0
271,0,331,331,0,7,0,106,122,12,61,26,4,15
272,0,142,142,0,0,0,9,9,0,0,0,7,0
273,0,125,125,0,0,0,10,2,0,0,3,5,100
274,0,106,106,0,0,0,35,0,11,0,0,8,8
275,0,479,479,0,0,0,49,11,11,0,10,2,0
276,0,293,293,0,0,0,46,28,673,0,122,13,14
277,0,512,512,0,0,0,67,55,8,45,23,6,7
278,0,0,0,0,50,47,17,17,14,0,38,0,79
279,0,102,102,0,0,0,50,124,12,165,2,1,21
280,0,183,183,0,0,0,10,4,0,0,0,1,3
305,0,317,317,0,0,0,9,1,0,0,0,0,0
306,0,187,187,0,0,0,36,8,3,231,3,91,0
307,0,260,260,0,0,0,25,13,0,0,4,0,17
308,0,885,885,0,0,0,234,13,19,86,138,13,12
309,0,341,336,5,0,0,36,19,18,0,79,6,44
310,0,21,21,0,5,0,44,21,34,0,128,55,31
311,0,210,210,0,0,0,97,53,0,0,95,8,0
312,0,204,200,4,0,0,229,4,93,8,44,3,9
313,0,200,200,0,0,0,100,19,54,0,14,1,0
314,0,674,674,0,0,0,83,7,0,0,13,7,0
315,0,241,241,0,0,0,24,1,0,0,6,2,0
316,0,130,130,0,0,0,13,0,16,203,1,0,0
317,0,256,256,0,0,0,35,9,0,0,4,6,0
318,0,0,0,0,0,0,87,3281,3,0,0,12,21
319,0,241,237,4,0,0,42,7,49,0,33,1,13
320,0,148,148,0,0,0,37,30,5,0,9,4,33
321,0,297,297,0,0,0,155,2,18,76,19,1,8
322,0,63,63,0,0,0,70,0,178,0,190,5,114
323,0,26,20,6,0,0,25,11,0,0,22,0,43
324,0,336,336,0,0,0,17,22,2,0,6,0,11
349,0,138,138,0,0,0,17,18,15,0,2,1,0
350,0,74,74,0,0,0,8,2,7,0,8,5,7
351,0,95,95,0,0,0,14,2,0,0,1,0,4
352,0,140,140,0,0,0,12,38,0,0,4,0,0
353,0,45,45,0,6,0,108,0,59,0,8,0,0
354,0,48,48,0,0,0,273,201,9,0,410,119,0
355,0,96,96,0,0,0,26,12,0,0,4,0,0
356,0,12,12,0,0,0,36,0,0,0,0,0,0
357,0,15,15,0,0,0,0,0,0,0,34,0,0
358,0,294,294,0,0,0,23,3,0,0,1,2,0
359,0,12,12,0,0,0,6,0,0,0,0,0,0
360,0,146,144,1,0,0,34,1,2,0,2,3,0
361,0,112,112,0,1,0,9,4,1,0,13,0,0
362,0,96,96,0,0,0,11,3,0,0,6,0,0
363,0,49,49,0,0,0,202,1000,0,14,178,31,0
364,0,34,34,0,0,0,40,241,0,0,40,0,0
365,0,578,578,0,0,0,54,16,0,0,12,4,0
366,0,148,148,0,10,0,294,329,101,0,397,226,54
367,0,476,476,0,0,0,42,17,26,0,40,1,4
368,0,64,64,0,0,0,24,10,0,0,48,10,0
369,0,167,167,0,0,0,78,77,54,0,364,42,86
370,0,129,129,0,0,0,11,1,37,0,334,0,0
371,0,28,28,0,0,0,5,2,0,0,82,0,27
372,0,511,511,0,0,5,41,23,11,201,6,0,0
373,0,526,526,0,0,0,135,52,26,0,146,4,1
374,0,84,48,36,9,0,5,4,38,0,131,1,0
375,0,175,175,0,79,0,54,3,14,0,8,25,25
376,0,54,54,0,0,0,11,5,0,0,4,0,0
377,0,41,41,0,0,0,7,2,0,0,2,0,0
378,0,94,94,0,0,0,17,18,0,0,2,4,0
379,0,3,3,0,0,0,0,0,0,0,0,23,0
380,0,94,94,0,0,0,3,72,9,0,48,0,0
381,0,34,34,0,0,0,9,0,0,0,0,0,0
382,0,340,340,0,0,0,28,10,8,75,5,5,0
383,0,86,86,0,0,0,27,3,1,0,3,0,0
384,0,43,43,0,0,0,5,1,0,0,0,0,0
409,0,140,140,0,0,0,22,14,0,0,7,0,0
410,0,98,98,0,0,0,19,15,0,0,5,4,0
411,0,303,303,0,0,0,43,12,2,0,7,2,17
